사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec.24,2호선,227,낙성대(강감찬),24 ,2 ,11501 ,2109 ,26165 ,9852 ,79828 ,19162 ,119600 ,39678 ,80125 ,33356 ,47868 ,28029 ,42542 ,26546 ,43585 ,29615 ,44542 ,32923 ,41322 ,34602 ,42382 ,42399 ,45441 ,48471 ,48672 ,64908 ,51408 ,98807 ,30565 ,81311 ,24428 ,56766 ,21706 ,53995 ,17181 ,54192 ,8800 ,34172 ,1693 ,9880 ,26 ,311 ,0 ,6 ,0 ,0 
Dec.24,2호선,228,서울대입구(관악구청),5043 ,21 ,27113 ,2566 ,42415 ,15086 ,120634 ,26505 ,170168 ,64094 ,118385 ,60557 ,72700 ,52178 ,65278 ,47594 ,72308 ,52377 ,79817 ,58646 ,70161 ,61766 ,73381 ,72303 ,81519 ,83160 ,88248 ,112188 ,91051 ,167166 ,55975 ,134353 ,48469 ,87699 ,48467 ,85562 ,41885 ,84739 ,23584 ,51835 ,4236 ,20190 ,22 ,4034 ,0 ,42 ,0 ,0 
Dec.24,2호선,229,봉천,90 ,2 ,15308 ,1313 ,27542 ,6787 ,80628 ,12099 ,120041 ,26746 ,75385 ,20715 ,45075 ,20382 ,38042 ,23331 ,39276 ,26442 ,38862 ,28828 ,36198 ,32152 ,35784 ,41966 ,36043 ,47719 ,35111 ,60316 ,34603 ,87303 ,21347 ,70718 ,17421 ,47449 ,14997 ,46014 ,11445 ,43347 ,5469 ,26328 ,1112 ,9212 ,4 ,260 ,0 ,5 ,0 ,0 
Dec.24,2호선,230,신림,262 ,15 ,36250 ,3923 ,66974 ,17694 ,173687 ,28161 ,261088 ,44951 ,165195 ,43904 ,97006 ,44374 ,82109 ,49329 ,87538 ,56818 ,84443 ,64297 ,80488 ,70369 ,79678 ,88249 ,84103 ,109632 ,86846 ,142659 ,82621 ,221587 ,58207 ,190495 ,50266 ,128946 ,47124 ,125174 ,39780 ,118076 ,23133 ,77383 ,4869 ,25130 ,37 ,425 ,0 ,4 ,0 ,0 
Dec.24,2호선,231,신대방,236 ,11 ,23867 ,1874 ,34122 ,8787 ,85892 ,13915 ,130447 ,24139 ,82787 ,18553 ,48206 ,19182 ,39682 ,20911 ,39782 ,24204 ,39034 ,28678 ,34646 ,32549 ,33828 ,42241 ,36028 ,49890 ,36516 ,64399 ,32925 ,88451 ,21782 ,75784 ,15882 ,56398 ,12912 ,58887 ,10239 ,57521 ,4971 ,33470 ,1056 ,9965 ,21 ,232 ,2 ,2 ,0 ,0 
Dec.24,2호선,232,구로디지털단지,294 ,12 ,38788 ,4867 ,52151 ,18964 ,136123 ,77877 ,182481 ,213868 ,115121 ,137911 ,74140 ,59261 ,67723 ,49266 ,75930 ,55093 ,75313 ,66815 ,70953 ,65722 ,78655 ,74802 ,94706 ,90085 ,142022 ,120670 ,197772 ,164036 ,97962 ,128431 ,64304 ,90128 ,54128 ,89850 ,43720 ,88242 ,20245 ,52793 ,3675 ,15732 ,22 ,542 ,0 ,11 ,0 ,0 
Dec.24,2호선,233,대림(구로구청),718 ,14 ,34130 ,3259 ,29350 ,10582 ,64276 ,20803 ,95731 ,49753 ,65130 ,33326 ,42695 ,34352 ,36797 ,39037 ,38371 ,36537 ,38825 ,36626 ,36964 ,36574 ,38997 ,44476 ,43068 ,53340 ,46959 ,63704 ,49016 ,68272 ,25895 ,49985 ,19132 ,40576 ,14988 ,50071 ,11097 ,49241 ,5674 ,24925 ,820 ,6389 ,19 ,352 ,0 ,10 ,0 ,0 
Dec.24,2호선,234,신도림,4311 ,43 ,36793 ,4972 ,53043 ,19111 ,138188 ,43116 ,152978 ,107390 ,93070 ,73434 ,67990 ,68124 ,66747 ,74787 ,77010 ,74972 ,81864 ,80597 ,86195 ,79737 ,92134 ,87681 ,101375 ,104121 ,120792 ,130837 ,129826 ,182939 ,79349 ,122789 ,75696 ,79079 ,68429 ,78441 ,57983 ,72694 ,24740 ,53407 ,2942 ,23620 ,57 ,3464 ,1 ,16 ,0 ,0 
Dec.24,2호선,235,문래,16 ,1 ,4238 ,2411 ,13922 ,10370 ,42141 ,39944 ,51071 ,135988 ,28665 ,65066 ,22037 ,29444 ,22803 ,27059 ,27518 ,29210 ,29457 ,31443 ,30516 ,29303 ,33836 ,32329 ,42942 ,37590 ,70362 ,47760 ,111315 ,67532 ,41836 ,44218 ,32491 ,24807 ,36632 ,22756 ,30431 ,19769 ,15067 ,12381 ,2509 ,4487 ,10 ,175 ,0 ,0 ,0 ,0 
Dec.24,2호선,236,영등포구청,34 ,5 ,5182 ,2934 ,12831 ,14255 ,38560 ,37238 ,50393 ,120130 ,31805 ,52687 ,24755 ,30360 ,26604 ,28696 ,30052 ,30048 ,31181 ,32413 ,34547 ,31067 ,37839 ,32654 ,43627 ,37743 ,63145 ,45618 ,100108 ,62196 ,39351 ,40403 ,32549 ,25703 ,29755 ,23373 ,22272 ,21031 ,10947 ,14303 ,1915 ,5500 ,28 ,289 ,0 ,0 ,0 ,0 
